iter	Passed	Remaining
0	136	136247
1	137	68525
2	138	45927
3	139	34655
4	140	27880
5	141	23376
6	142	20163
7	143	17794
8	144	15964
9	146	14455
10	147	13221
11	148	12193
12	149	11319
13	150	10580
14	151	9940
15	152	9376
16	153	8879
17	154	8432
18	155	8036
19	157	7695
20	158	7388
21	159	7112
22	161	6846
23	162	6601
24	163	6375
25	164	6165
26	165	5970
27	166	5787
28	167	5617
29	168	5457
30	169	5308
31	171	5193
32	173	5070
33	174	4946
34	175	4833
35	176	4725
36	177	4623
37	178	4529
38	180	4437
39	181	4347
40	182	4267
41	183	4189
42	186	4150
43	187	4081
44	189	4013
45	190	3945
46	191	3882
47	192	3821
48	193	3761
49	194	3703
50	196	3647
51	197	3592
52	198	3539
53	199	3492
54	200	3445
55	201	3398
56	202	3351
57	203	3305
58	204	3260
59	205	3217
60	206	3177
61	207	3139
62	208	3102
63	209	3066
64	210	3031
65	212	3002
66	213	2976
67	214	2943
68	215	2910
69	216	2878
70	217	2848
71	218	2817
72	219	2788
73	220	2760
74	221	2733
75	222	2706
76	223	2680
77	224	2654
78	225	2631
79	227	2612
80	228	2593
81	229	2570
82	230	2543
83	231	2522
84	232	2500
85	233	2479
86	234	2459
87	235	2440
88	236	2420
89	237	2401
90	238	2384
91	239	2366
92	240	2348
93	242	2334
94	243	2317
95	244	2301
96	245	2284
97	246	2267
98	247	2251
99	248	2235
100	249	2220
101	250	2205
102	251	2190
103	252	2177
104	253	2162
105	254	2148
106	256	2138
107	257	2128
108	258	2114
109	259	2102
110	261	2090
111	262	2079
112	263	2066
113	264	2054
114	265	2046
115	267	2035
116	267	2022
117	269	2010
118	270	2000
119	271	1993
120	273	1983
121	274	1971
122	275	1962
123	276	1951
124	277	1941
125	278	1930
126	279	1918
127	280	1907
128	280	1897
129	281	1886
130	282	1876
131	283	1866
132	285	1858
133	286	1851
134	287	1842
135	288	1833
136	289	1825
137	290	1817
138	292	1809
139	293	1800
140	294	1793
141	295	1783
142	296	1775
143	297	1767
144	298	1758
145	299	1753
146	301	1747
147	302	1739
148	303	1733
149	304	1726
150	306	1721
151	307	1714
152	308	1707
153	309	1699
154	310	1692
155	311	1686
156	312	1679
157	314	1675
158	315	1668
159	316	1661
160	317	1652
161	318	1645
162	320	1647
163	321	1640
164	323	1634
165	324	1628
166	325	1622
167	326	1616
168	327	1610
169	329	1606
170	330	1601
171	331	1595
172	332	1589
173	333	1583
174	334	1577
175	335	1571
176	336	1565
177	337	1560
178	338	1554
179	340	1549
180	341	1544
181	342	1541
182	344	1536
183	345	1532
184	346	1527
185	347	1521
186	348	1516
187	349	1511
188	351	1506
189	352	1501
190	353	1496
191	354	1491
192	355	1486
193	357	1484
194	358	1479
195	359	1474
196	360	1470
197	361	1465
198	362	1460
199	364	1456
200	365	1452
201	366	1448
202	367	1443
203	368	1439
204	369	1434
205	371	1431
206	372	1427
207	373	1422
208	374	1418
209	375	1413
210	376	1409
211	378	1405
212	379	1400
213	379	1395
214	381	1391
215	382	1387
216	383	1383
217	384	1378
218	386	1376
219	387	1373
220	388	1368
221	389	1364
222	390	1359
223	391	1355
